Daerah,Laki-laki,Perempuan,
LEMBATA,65.49,69.38,
Lembata,65.49,69.38,
FLORES TIMUR,63.72,67.48,
Flores Timur,63.72,67.48,
SIKKA,65.87,69.75,
Sikka,65.87,69.75,
ENDE,63.89,67.57,
Ende,63.89,67.57,
NGADA,66.23,70.35,
Ngada,66.23,70.35,
MANGGARAI,65.29,69.29,
Manggarai,65.29,69.29,
ROTE NDAO,63.33,67.09,
Rote Ndao,63.33,67.09,
MANGGARAI BARAT,65.58,69.68,
Manggarai Barat,65.58,69.68,
SUMBA TENGAH,66.59,70.56,
Sumba Tengah,66.59,70.56,
SUMBA BARAT DAYA,66.74,70.76,
Sumba Barat Daya,66.74,70.76,
NAGEKEO,65.52,69.42,
Nagekeo,65.52,69.42,
MANGGARAI TIMUR,66.25,70.26,
Manggarai Timur,66.25,70.26,
SABU RAIJUA,58.98,62.7,
Sabu Raijua,58.98,62.7,
MALAKA,63.34,67.2,
Malaka,63.34,67.2,
KOTA KUPANG,68.1,71.98,
Kota Kupang,68.1,71.98,
KALIMANTAN BARAT,69.08,73,
SAMBAS,67.34,71.27,
Sambas,67.34,71.27,
BENGKAYANG,72.31,75.75,
Bengkayang,72.31,75.75,
LANDAK,71.32,75.22,
Landak,71.32,75.22,
PONTIANAK,69.29,73.42,
Mempawah,69.29,73.42,
SANGGAU,69.6,73.46,
Sanggau,69.6,73.46,
KETAPANG,69.17,73.24,
Ketapang,69.17,73.24,
SINTANG,70.1,74.02,
Sintang,70.1,74.02,
KAPUAS HULU,70.79,74.5,
Kapuas Hulu,70.79,74.5,
SEKADAU,70.26,74.27,
Sekadau,70.26,74.27,
MELAWI,71.18,75,
Melawi,71.18,75,
KAYONG UTARA,66.23,70.92,
Kayong Utara,66.23,70.92,
KUBU RAYA,68.78,72.94,
Kubu Raya,68.78,72.94,
KOTA PONTIANAK,71.41,75.24,
Kota Pontianak,71.41,75.24,
KOTA SINGKAWANG,70.57,74.7,
Kota Singkawang,70.57,74.7,
KALIMANTAN TENGAH,68.08,72.02,
KOTAWARINGIN BARAT,68.91,72.94,
Kotawaringin Barat,68.91,72.94,
KOTAWARINGIN TIMUR,68.04,72.12,
Kotawaringin Timur,68.04,72.12,
KAPUAS,66.96,70.99,
Kapuas,66.96,70.99,
BARITO SELATAN,65.41,69.42,
Barito Selatan,65.41,69.42,
BARITO UTARA,69.47,73.44,
Barito Utara,69.47,73.44,
SUKAMARA,69.73,73.75,
Sukamara,69.73,73.75,
LAMANDAU,67.49,71.57,
